ISBN,Book_Title,Book_Author,Year_Publication,Publisher
345357620,The Steerswoman,Rosemary Kirstein,1989,Del Rey Books
375709479,Some Assembly Required : Poems,GEORGE BRADLEY,2002,Knopf
394820967,Thursday's Child,Noel Streatfeild,1971,Random House Inc
1858284325,The Rough Guide to House Music,Sean Bidder,1999,Rough Guides Limited
874779316,The Wild Within: Adventures in Nature and Animal Teachings,Paul Rezendes,1999,Putnam Pub Group
486298051,Little Men (Dover Children's Thrift Classics),Louisa May Alcott,1997,Dover Pubns
837898587,Thank You for Being You,Kim Anderson,1995,Peggy Pinson
140196080,Interior Design With Feng Shui,Sarah Rossbach,2000,Penguin Books
067943979X,The Lost Children of Wilder : The Epic Struggle to Change Foster Care,Nina Bernstein,2001,Pantheon Books
2707302961,Compagnie,Samuel Beckett,1980,�?ditions de minuit
373250657,Let's Meet On Platform 8 (Red Dress Ink),Carole Matthews,2004,Red Dress Ink
373272707,Northern Exposure,Debra Lee Brown,2003,Silhouette
765301296,Nano,John Robert Marlow,2004,Forge Books
684839458,Spending: A Utopian Divertimento,Mary Gordon,1998,Scribner
451210689,Uncommon Vows,Mary Jo Putney,2003,Signet Book
316734454,Dumpling Soup,Jama Kim Rattigan,1993,Little Brown &amp
670863599,The Devil in Music,Kate Ross,1997,Viking Books
553354086,Frida Kahlo: Torment and Triumph in Her Life and Art (The Barnard Biographgy Series),Malka Drucker,1991,Doubleday Books for Young Readers
671628933,LIFETIME,Scott Sommer,1986,Pocket
1890447250,Venus Drive,Sam Lipsyte,2000,Open City Books
425151328,Dull Knifes of Pine Ridge: A Lakota Odyssey,Joe Starita,1996,Berkley Publishing Group
425196933,Absolute Instinct,Robert W. Walker,2004,Berkley Publishing Group
471115223,User-Centered Application Design with Visual Basic,Peter D. Varhol,1995,John Wiley &amp
375506292,The Seal Wife : A Novel,KATHRYN HARRISON,2002,Random House
8449417848,El Alcalde De Zalamea (Clasicos Universales),Calderon De LA Barca,2000,Grupo Oceano
345326237,The Pop Sixties: A Personal and Irreverent Guide,Andrew J. Edelstein,1985,Granite Impex Ltd
749314656,Until Proven Guilty,Christine McGuire,1994,Mandarin
345338200,The Caves of Steel,Isaac Asimov,1989,Del Rey Books
460873393,The Best of O. Henry (Everyman Library),O. Henry,1993,Tuttle Pub
394622022,Parisian Frolocs: The Victorian Imagination,Publishing Grove,1984,Grove Press
671016962,Iron Lake (Cork O'Connor Mysteries),William Kent Krueger,1998,Atria
871134381,Spill,Les Standiford,1991,Pub Group West
465069908,River Out of Eden: A Darwinian View of Life (Science Masters Series),Richard Dawkins,1996,HarperCollins Publishers
385133359,Time in Its Flight,Susan Fromberg Schaeffer,1978,Bantam Dell Pub Group
817449000,Moods,Robert Farber,1980,AMPHOTO
2265068497,Star Wars Episode 1: LA Menace Fantome,Terry Brooks,2002,Fleuve Noir
517584913,Bodies Electric: A Novel,Colin Harrison,1993,Random House Inc
671892525,ROBOT TROUBLE (AI GANG 2) : ROBOT TROUBLE (The a.I. Gang),Bruce Coville,1995,Aladdin
805051791,The Nowhere City,Alison Lurie,1997,Owl Books (NY)
440234824,The Sibyl in Her Grave,Sarah Caudwell,2001,Dell Publishing Company
2070364143,L'espion qui venait du froid,John Le Carr�?©,1973,Gallimard
8433920162,Una Dama En Apuros,Tom Sharpe,1998,Anagrama
671045067,Man to Man : Surviving Prostate Cancer,Michael Korda,1999,Simon &amp
