User_ID,Location,Age
248779,newark_ delaware_ usa,23
108494,utrecht_ n/a_ netherlands,35
234710,cape town_ western cape_ south africa,47
79962,hertfordshire_ england_ united kingdom,22
1538,caracas_ caracas_,29
181430,numana_ marche_ italy,38
152151,boulder_ western australia_ australia,38
164315,barcelona_ catalunya_ spain,31
29768,brisbane_ queensland_ australia,20
52820,stockholm_ \n/a\_ sweden,18
109387,berlin_ berlin_ germany,21
144144,catania_ sicilia_ italy,26
20707,san francisco_ california_ usa,25
29329,amsterdam_ noord-holland_ netherlands,48
118434,darwin_ northern territory_ australia,23
82954,las vegas_ nevada_ usa,30
61999,lleida_ lleida_ spain,37
206187,glen iris_ victoria_ australia,14
225843,koo wee rup_ victoria_ australia,38
275284,ann arbor_ michigan_ usa,28
17382,karachi_sindh_pakistan_ sindh_ pakistan,21
139655,riverside_ california_ usa,63
12744,austin_ texas_ usa,35
90161,valencia_ espa�a_ spain,18
173413,cologne_ nordrhein-westfalen_ germany,24
116195,bermuda run_ north carolina_ usa,45
266010,pesaro_ marche_ italy,27
136845,a coru�a_ espa�a/galicia/a coru�a_ spain,43
26319,modena_ emilia romagna_ italy,52
108372,regina_ saskatchewan_ canada,61
163535,sandringham_ victoria_ australia,22
214995,samora correia_ ribatejo_ portugal,33
8552,neuhaus_ n/a_ austria,33
261566,valencia_ valencia_ spain,38
276430,fayetteville_ north carolina_ usa,40
101267,barcelona_ catalunya_ spain,20
83575,balingen_ baden-wuerttemberg_ germany,30
223312,duesseldorf_ nordrhein-westfalen_ germany,40
178249,stuttgart_ baden-wuerttemberg_ germany,42
214630,eastwood_ new south wales_ australia,58
101138,shanghai_ shanghai_ china,24
114005,greensboro_ north carolina_ usa,33
35465,oldenburg_ niedersachsen_ germany,29
261296,sitges_ catalunya_ spain,22
160909,adelaide_ sa_ australia,31
231456,omaha_ nebraska_ usa,43
60653,pictou_ nova scotia_ canada,33
201931,t�bingen_ baden-wuerttemberg_ germany,41
65923,rheinfelden_ argau_ switzerland,23
12541,hampton_ iowa_ usa,64
150284,warsaw_ mazowieckie_ poland,30
224289,washington_ north carolina_ usa,28
93359,chicago_ illinois_ usa,50
215344,gloucester_ massachusetts_ usa,18
240241,darmstadt_ hessen_ germany,26
95147,new york city_ new york_ usa,25
102421,harpenden_ hertfordshire_ united kingdom,27
239123,richmond (ottawa)_ ontario_ canada,13
198161,z�rich_ z�rich_ switzerland,27
16469,cross river_ newfoundland_ usa,61
5939,pleasantville_ new york_ usa,48
168529,london_ london_ united kingdom,31
263306,jacksonville_ florida_ usa,24
76260,atlanta_ georgia_ usa,38
196305,west chester_ pennsylvania_ usa,44
171231,new orleans_ louisiana_ usa,29
278054,verona_ veneto_ italy,40
66586,daly city_ california_ usa,18
185116,madrid_ madrid_ spain,24
177460,clare_ michigan_ usa,16
2212,mainz_ rheinland-pfalz_ germany,22
89277,euskirchen_ nordrhein-westfalen_ germany,46
263579,badalona_ catalonia_ spain,23
89905,ashland_ kentucky_ usa,35
90297,reading_ berkshire_ united kingdom,30
276487,teruel_ aragon_ spain,21
62947,geelong_ victoria_ australia,37
39616,las vegas_ nevada_ usa,38
139255,olympia_ washington_ usa,21
26735,riverview_ new brunswick_ canada,37
29122,las vegas_ nevada_ usa,33
